apartment_id,area_id,entity_subtype,geometry,elevation,height,orientation,window_area,layout_area,window_floor_ratio,door_connection1,door_connection2,view_landscape_nature_mean,view_landscape_urban_mean
Design3,0,FLOOR_OUTDOOR_SPACE,"POLYGON((3.36589444901 -10.1198946180,4.66177757655 -10.5499012096,10.0608678554 5.68686855934,8.76511017818 6.1172528442,3.36589444901 -10.1198946180))",8.7,0,0,0,0,0,0,0,0,0
Design4,400,BEDROOM,"POLYGON((-6.02815319841 19.9654101955,-7.31335414324 16.1004050242,-10.5524756677 17.1774856125,-9.26727472289 21.0424907838,-6.02815319841 19.9654101955))",8.7,2.6,West,2.8,13.903486,0.201388,0,0,2.523639,1.018124
Design4,401,LIVING_ROOM,"POLYGON((-8.62942054894 12.1425776632,-7.34490765918 16.0055136356,-10.5840291837 17.0825942239,-11.8692301285 13.2175890525,-8.62942054894 12.1425776632))",8.7,2.6,West,7.81997,13.899765,0.562597,0,0,2.357445,1.009544
Design4,402,BATHROOM,"POLYGON((-4.03543403768 19.3027863607,-5.93326180981 19.9338566795,-6.87986728810 17.0871150213,-4.98203951597 16.4560447025,-4.03543403768 19.3027863607))",8.7,2.6,0,0,6,0,0,0,1.471492,0.595558
Design4,403,CORRIDOR,"POLYGON((-2.13451447244 12.8718927857,-1.49515249517 14.7955672379,-5.13204956015 16.0049171191,-5.01359303192 16.3611533139,-6.91144606394 16.9922320282,-7.66923933842 14.7123128985,-2.13451447244 12.8718927857))",8.7,2.6,0,0,12.574511,0,0,0,0,0
Design4,404,KITCHEN,"POLYGON((-5.89814884417 14.0179346074,-6.73118907512 11.5127195175,-8.62942054894 12.1425776632,-7.79570383523 14.6489142205,-5.89814884417 14.0179346074))",8.7,2.6,South,2.1,5.281073,0.397647,0,0,0.404527,0.175897
Design4,405,BEDROOM,"POLYGON((-5.80276816796 13.9862860365,-6.63606651879 11.4812238034,-2.99675179122 10.2741661733,-2.16588022566 12.7775206818,-5.80276816796 13.9862860365))",8.7,2.6,South,2.1,10.115649,0.207599,0,0,0.992167,0.478711
Design4,406,BEDROOM,"POLYGON((-1.75589417074 13.6945128361,-2.88939064193 10.2379603164,1.14199035027 8.90029513109,2.28891377176 12.3494561147,-1.75589417074 13.6945128361))",8.7,2.6,East,3.537644,15.472395,0.228642,0,0,1.829499,0.173852
Design4,407,OUTDOOR_SPACE,"POLYGON((-10.7910185684 21.5491036748,-9.49540600080 21.1182834242,-12.1729301464 13.0661226236,-13.4685427140 13.4969428741,-10.7910185684 21.5491036748))",8.7,2.6,West,0,11.586012,0,0,0,2.576988,1.068922
Design4,400,WINDOW,"POLYGON((-10.0278754333 19.5155069402,-9.71234027383 20.4644208263,-9.48460094118 20.3886923880,-9.80013610061 19.4397785019,-10.0278754333 19.5155069402))",9.1,10.5,West,1.4,0,0,0,0,0,0
Design4,400,WINDOW,"POLYGON((-10.5958387202 17.8074619453,-10.2803035608 18.7563758314,-10.0525642282 18.6806473931,-10.3680993876 17.7317335070,-10.5958387202 17.8074619453))",9.1,10.5,West,1.4,0,0,0,0,0,0
Design4,401,WINDOW,"POLYGON((-11.2321624457 15.8940649582,-10.9166272863 16.8429788443,-10.6888879537 16.7672504060,-11.0044231131 15.8183365199,-11.2321624457 15.8940649582))",9.1,10.5,West,1.4,0,0,0,0,0,0
Design4,401,WINDOW,"POLYGON((-9.40376994875 12.1466498938,-10.8274428402 12.6190432661,-10.7518599006 12.8468309288,-9.32818700917 12.3744375564,-9.40376994875 12.1466498938))",9.1,10.5,South,2.1,0,0,0,0,0,0
Design4,404,WINDOW,"POLYGON((-7.12589332247 11.3908204980,-8.54956621389 11.8632138704,-8.47398327432 12.0910015330,-7.05031038290 11.6186081607,-7.12589332247 11.3908204980))",9.1,10.5,South,2.1,0,0,0,0,0,0
Design4,405,WINDOW,"POLYGON((-4.8480166962 10.6349911023,-6.27168958762 11.1073844746,-6.19610664805 11.3351721373,-4.77243375663 10.8627787649,-4.8480166962 10.6349911023))",9.1,10.5,South,2.1,0,0,0,0,0,0
Design4,406,WINDOW,"POLYGON((1.82264187028 10.1866166923,1.42398077308 8.98771685611,1.19624144043 9.06344529437,1.59490253762 10.2623451305,1.82264187028 10.1866166923))",9.1,10.5,East,1.768822,0,0,0,0,0,0
Design4,406,WINDOW,"POLYGON((2.42063351606 11.9849664465,2.02197241887 10.7860666104,1.79423308622 10.8617950486,2.19289418341 12.0606948848,2.42063351606 11.9849664465))",9.1,10.5,East,1.768822,0,0,0,0,0,0
Design4,401,OUTSIDE_DOOR,"POLYGON((-12.0522437070 13.4268449577,-11.4845769673 15.1349751921,-11.2568512406 15.0592054111,-11.8245179803 13.3510751767,-12.0522437070 13.4268449577))",8.7,11.1,West,4.31997,0,0,401,407,0,0
Design4,0,DOOR,"POLYGON((-5.86745410486 16.6456198448,-5.83583997734 16.7404910572,-5.07687027818 16.4875780371,-5.1084844057 16.3927068247,-5.86745410486 16.6456198448))",0,0,0,0,0,0,402,403,0,0
Design4,0,DOOR,"POLYGON((-6.93494599416 16.9230956552,-7.02985752026 16.9545885467,-7.28180065219 16.1952963379,-7.18688912610 16.1638034464,-6.93494599416 16.9230956552))",0,0,0,0,0,0,400,403,0,0
Design4,0,DOOR,"POLYGON((-7.53441868123 15.1200104297,-7.62928989363 15.1516245572,-7.37637687348 15.9105942563,-7.28150566109 15.8789801288,-7.53441868123 15.1200104297))",0,0,0,0,0,0,401,403,0,0
Design4,0,DOOR,"POLYGON((-3.28542641978 15.3919273219,-4.04455752863 15.6443554495,-4.00038260630 15.7772033935,-3.24125149746 15.5247752660,-3.28542641978 15.3919273219))",0,0,0,0,0,0,403,0,0,0
